brand,category,price,cat_avg,premium_pct
Sanitarium,Drinks,2.88,7.194803149606299,-59.97110775494123
Sanitarium,Pantry,2.8000000000000003,2.83953488372093,-1.3923013923013823
Sara Lee,Frozen,9.0,6.665748031496062,35.01860492587562
Sard,Household,8.0,6.624045801526718,20.77211178334774
Schweppes,Drinks,4.15,7.194803149606299,-42.31947818854378
Scotts,Frozen,6.0,6.665748031496062,-9.987596716082917
Shine,Household,3.025,6.624045801526718,-54.33304523192164
Simson's Pantry,Bakery,6.5,4.643089430894309,39.992995972684284
Sirena,Pantry,2.9500000000000006,2.83953488372093,3.8902538902539128
Smith's,Snacks,5.6499999999999995,4.00984251968504,40.9032891507118
Snickers,Snacks,3.0,4.00984251968504,-25.184094256259215
So Good,Drinks,3.0,7.194803149606299,-58.30323724473045
Soften,Household,3.0,6.624045801526718,-54.710458081244596
Solo,Drinks,13.935,7.194803149606299,93.68146299822708
Sorbent,Household,6.56,6.624045801526718,-0.9668683376548615
Sprite,Drinks,9.799999999999999,7.194803149606299,36.209425000547185
Spud Lite,Fruit & Veg,8.0,3.7485365853658537,113.41661786713514
Steggles,Frozen,11.2,6.665748031496062,68.02315279664522
Steggles,Meat & Seafood,17.5,15.261705426356588,14.66608423576262
Strike,Household,2.55,6.624045801526718,-61.50388936905791
Sunbites,Snacks,4.0,4.00984251968504,-0.2454590083456169
Sunny Queen,Dairy & Eggs,10.75,4.79140625,124.3600195662808
Sunrice,Pantry,3.55,2.83953488372093,25.020475020475015
Sunrice,Snacks,2.1,4.00984251968504,-47.628865979381445
Superior Gold,Meat & Seafood,14.0,15.261705426356588,-8.267132611389906
Swisspers,Health & Wellness,4.65,7.783969465648855,-40.2618417181524
Symphony,Household,5.0,6.624045801526718,-24.517430135407665
Table Of Plenty,Health & Wellness,6.714285714285714,7.783969465648855,-13.742137043107919
Tamar Valley,Dairy & Eggs,2.7,4.79140625,-43.64911136474808
Tassal,Meat & Seafood,15.916666666666666,15.261705426356588,4.291533757288853
Tasty Mix,Snacks,8.9,4.00984251968504,121.95385370643102
The Happy Snack Company,Health & Wellness,6.0,7.783969465648855,-22.918505442777292
The Natural Confectionery Co.,Snacks,5.0,4.00984251968504,24.69317623956798
The Odd Bunch,Fruit & Veg,3.4799999999999995,3.7485365853658537,-7.163771227796226
Tip Top,Bakery,4.8125,4.643089430894309,3.6486604797758613
Top 20,Snacks,7.5,4.00984251968504,87.03976435935196
Toscano,Bakery,7.066666666666666,4.643089430894309,52.1975135703029
Tostitos,Snacks,5.2,4.00984251968504,29.680903289150702
True Fruit,Health & Wellness,5.8,7.783969465648855,-25.487888594684716
